archive_run,row,x1,x2,x3,x4,x5,x6,x7,archived_inverse_inertia,recomputed_inverse_inertia,archived_section_area_m2,recomputed_section_area_m2,archived_effective_Ez_Pa,recomputed_effective_Ez_Pa,radius_1_mm,radius_2_mm,physically_feasible_Rmin_0p9,inverse_inertia_relative_error,section_area_relative_error,Ez_relative_error
EPSO_2,47,2.5998300397355756,7.209018884604083,8.314762440429638,7.753166951543783,3.6155819622197605,0.33357148034561523,0.28395204870294255,255.5934579131325,255.5963985925365,9.6868547497686e-06,9.674096304976673e-06,3084059.839528764,3085467.3467286876,0.49330306294180726,0.45641040073963707,False,1.1505299971296172e-05,0.001317088479336687,0.0004563812873807828
EPSO_2,48,2.7075195633109885,7.051622863217956,8.294466526856278,7.76065469525394,3.8306734686651405,0.353312545641999,0.31179241764722554,255.3961235122892,255.39928481752824,9.691144513729816e-06,9.678516171630403e-06,3160105.4956625937,3161497.82509171,0.5453363005409722,0.5059269303578107,False,1.2378047072804456e-05,0.001303080568195224,0.0004405958696718016
EPSO_2,49,5.21927409713267,0.5530739072472661,9.532447456120485,1.7290663209699568,9.42965281778154,0.8969482976587797,0.9277837741361927,246.3252675380429,246.31901231224688,1.0004332605398404e-05,9.990964987467057e-06,17157098.252748124,17243877.571378436,0.7807267380506624,0.9904023199231221,False,2.5394170312060334e-05,0.0013361828778197232,0.0050579251428143936
EPSO_2,50,3.908479051086529,2.051465042143529,9.601253024301656,1.8336502602248572,8.434083951345961,0.8089275606098527,0.8019043740408438,247.48772994063657,247.48590055497564,9.941994422806112e-06,9.928678516173725e-06,8918186.51854819,8929695.822679726,0.9743945863330002,0.9743665443286336,True,7.391823672894684e-06,0.0013393596964651117,0.0012905431062244072
EPSO_2,51,3.784488079807079,3.091828430225828,10.0,4.098942500857431,9.411230952620267,0.6994289636474489,0.7209230534968146,249.47007721463635,249.46528547010675,9.868387228062506e-06,9.855333189696156e-06,6413676.86673659,6419922.825476116,0.8952535544886709,1.1469902850932212,False,1.920769249401921e-05,0.0013228137551420946,0.0009738499256049534
EPSO_2,52,3.7466230658331767,4.002401556509621,8.999853680962705,4.499127476854533,6.175442348399619,0.5823282214650222,0.5624468280182942,251.04609431200925,251.04813193717987,9.81180663981445e-06,9.79841073073498e-06,4764671.483138114,4768201.854606549,0.9278713336423583,0.9279183094859126,True,8.116538025471604e-06,0.0013652846587001775,0.0007409475093778897
EPSO_2,53,4.993639235401225,0.7231713434186356,9.61959617598093,1.2481083576778127,8.887409596966771,0.8426301263123338,0.8575255283366213,245.97505704120476,245.97100348514292,1.0012588156476032e-05,9.998686008215462e-06,16161738.321234446,16212380.023443395,0.8629459452549056,0.9636856894915247,False,1.6479541099034888e-05,0.0013884670020686087,0.0031334316397396787
EPSO_2,54,3.6445181009589476,3.028423247791924,9.601851182233109,2.7045245641516065,5.9925626595009716,0.5668167125906455,0.5170421314722562,249.42980248272912,249.4303605275569,9.869853961765498e-06,9.855507729515274e-06,5547733.08274491,5553409.908707924,0.9250117611985884,0.8739144860401896,False,2.2372820818900646e-06,0.001453540478491283,0.0010232694829299578
EPSO_2,55,3.2647065363867576,6.712188358958688,8.35997722164608,7.8552737739199,2.7720216488839906,0.24526282945951083,0.19036619148285927,255.4611555753094,255.46462710980396,9.690722391714204e-06,9.677185599684021e-06,3081334.205480919,3082335.5804696907,0.49575328166017635,0.4666949189924852,False,1.3589285176242285e-05,0.0013968816237845216,0.0003249809731739955
EPSO_2,56,4.058662790580197,1.6979967991153282,9.33257198409627,2.5706037876710064,8.87146991445111,0.8709096469903445,0.8858092960094714,247.78518150939013,247.78076279642937,9.934358578044326e-06,9.921615420526525e-06,9088248.797375323,9100199.790996997,0.9197391207041411,1.024432831395478,True,1.7832837838969046e-05,0.0012827358120497457,0.0013149941081195828
