design_id,split,d1,d2,d3,d4,d5,w1,w2,pitch_mm,height_mm,thickness_mm,arc_length_mm,radius_1_mm,radius_2_mm,radius_min_mm,aspect_ratio_H_over_P,thickness_ratio_t_over_H,thickness_ratio_t_over_P,curvature_index_t_over_Rmin,core_material_fraction,board_material_fraction,geometry_feasible
D040,test,5.525855495111614,0.10226889305456588,8.074879209060171,0.11099161236139701,9.571621985112072,0.0,0.0,7.9,3.9563445272829125,0.15,12.865078074639474,1.06421481339606,1.063111709761057,1.063111709761057,0.500803104719356,0.037913786063271664,0.018987341772151896,0.1410952382734207,0.06174225541888201,0.13756982754542535,1.0
D041,train,9.994090180760143,0.1,6.937538131030297,0.1,0.1,0.1708780132198619,0.0,7.897745576465664,4.0,0.25,12.890584133363275,1.48049873433389,1.0095276902659447,1.0095276902659447,0.506473646342764,0.0625,0.03165460289642275,0.2476405574711292,0.10201158046113558,0.22701158046113556,1.0
D042,train,7.412760023353634,4.668335928362747,9.654418824027632,3.69836238491969,0.1,0.002594805425460014,0.0,7.895882052866694,3.9901285829770208,0.15,12.069731258576665,1.1953154447846368,1.2585492256891855,1.1953154447846368,0.5053429821090548,0.03759277348603275,0.018997244259182,0.12548988692020616,0.05746472277612453,0.13265026974819003,1.0
D043,train,0.1,0.1,10.0,3.5851293773290047,8.177894181423689,0.0,0.0,7.9,4.0,0.15,12.50907088918748,1.7340877369450047,1.1597751425565173,1.1597751425565173,0.5063291139240506,0.0375,0.018987341772151896,0.1293354155438715,0.059378501056269684,0.13437850105626967,1.0
D044,test,9.182421712424066,0.1,6.303663537788967,0.10672007101684765,0.1,0.041510531968165926,0.05411098135903441,7.875233250839573,2.77111112707028,0.15,10.937194383982142,1.0550388276644584,1.066340259611758,1.0550388276644584,0.3518767049566251,0.0541299114765511,0.019047054889962604,0.1421748622579657,0.07517610525931652,0.1834359282124187,1.0
D045,train,0.1089776934295784,10.0,8.9113648183197,4.22470329882336,10.0,0.05616216804300321,0.15657430717516446,7.877615097896387,3.4416934439205145,0.15584783530035248,11.112626043968756,0.9700682466053853,1.262127835928804,0.9700682466053853,0.4368953548948556,0.045282311699098486,0.019783631640237106,0.16065656807726636,0.06387788563735329,0.15444250903555026,1.0
D046,train,3.9734885996572125,4.165185740177483,6.653304771215604,5.955316277558207,0.1,0.13751504794938121,0.157971209551448,7.9,2.388617902585863,0.15,9.570451102258202,0.9969145224630873,1.0027046785645546,0.9969145224630873,0.30235669652985603,0.06279782121603185,0.018987341772151896,0.15046425407606,0.07607638952865639,0.20167203196072006,1.0
D047,train,0.10517275473774135,0.1,9.95676714281908,10.0,10.0,0.04181430788742697,0.20594886501532242,7.877649141235888,2.2,0.15,9.646036468247102,2.3770606624332027,0.9090124916005865,0.9090124916005865,0.27927113286678473,0.06818181818181818,0.019041213604553502,0.16501423400230775,0.08348738219509359,0.21985101855872993,1.0
D048,test,0.1,0.10576400750120801,9.89319527918681,0.1023768427448622,9.223925048169365,0.0,0.0754678385319073,7.888630481030776,3.911898243335689,0.25,12.721309670364708,1.3176237601529075,1.4469947608979183,1.3176237601529075,0.4958906685694494,0.06390759279740982,0.031691178918971684,0.18973549776530138,0.10305822794189107,0.2308734135367107,1.0
D049,train,0.10509983297615987,5.396625462515962,10.0,1.4400800699881267,10.0,0.06735463105847828,0.20162976107899422,7.9,3.9734016069786158,0.22432950378194239,12.287864011834523,1.0406062003975924,2.014364754187003,1.0406062003975924,0.5029622287314703,0.05645779761802711,0.028396139719233212,0.21557579005029096,0.08781591639721421,0.20073151163326844,1.0
D050,train,0.10135893556415064,2.641491032007587,4.960828904627748,6.953829498950939,9.285192009243126,0.15041450582730784,0.10003892996762236,7.857598103578299,2.2,0.15,9.47338143991229,1.194990665615725,0.9395406396129067,0.9395406396129067,0.279983777612415,0.06818181818181818,0.019089803019028292,0.15965248726420223,0.08220226618729282,0.21856590255092917,1.0
