case,seed,generation,evaluations,hypervolume,normalized_hypervolume,reference_objective_1,reference_objective_2
C037,47,1,36,1014.0523035160802,0.5997913192471255,0.423942885276629,3987.9786881590203
C037,47,2,72,1015.9543939980924,0.6009163670928606,0.423942885276629,3987.9786881590203
C037,47,3,108,1032.0047622806032,0.6104098335868369,0.423942885276629,3987.9786881590203
C037,47,4,144,1033.7195952893871,0.6114241224445819,0.423942885276629,3987.9786881590203
C037,47,5,180,1036.133059360461,0.6128516373707111,0.423942885276629,3987.9786881590203
C037,47,6,216,1038.6873766107353,0.6143624640884312,0.423942885276629,3987.9786881590203
C037,47,7,252,1038.6873766107353,0.6143624640884312,0.423942885276629,3987.9786881590203
C037,47,8,288,1038.7777329261166,0.6144159080118038,0.423942885276629,3987.9786881590203
C037,47,9,324,1039.2629099683015,0.6147028803673632,0.423942885276629,3987.9786881590203
C037,47,10,360,1039.4009746854642,0.6147845428403553,0.423942885276629,3987.9786881590203
C037,47,11,396,1045.2869983304877,0.6182660061484385,0.423942885276629,3987.9786881590203
C037,47,12,432,1045.409111204582,0.6183382334305975,0.423942885276629,3987.9786881590203
C037,47,13,468,1045.3985761612423,0.6183320021666665,0.423942885276629,3987.9786881590203
C037,47,14,504,1045.4928225342583,0.6183877469800352,0.423942885276629,3987.9786881590203
C037,47,15,540,1045.647581831291,0.6184792839575769,0.423942885276629,3987.9786881590203
C037,47,16,576,1045.647581831291,0.6184792839575769,0.423942885276629,3987.9786881590203
C037,47,17,612,1045.768882531008,0.6185510308551053,0.423942885276629,3987.9786881590203
C037,47,18,648,1046.1863890607112,0.6187979774784468,0.423942885276629,3987.9786881590203
C037,47,19,684,1046.2962405569444,0.6188629524049062,0.423942885276629,3987.9786881590203
C037,47,20,720,1046.4214545514112,0.6189370139367119,0.423942885276629,3987.9786881590203
C037,47,21,756,1046.4794646817634,0.6189713257493206,0.423942885276629,3987.9786881590203
C037,47,22,792,1046.4794646817634,0.6189713257493206,0.423942885276629,3987.9786881590203
C037,47,23,828,1046.451437344028,0.6189547481489176,0.423942885276629,3987.9786881590203
C037,47,24,864,1046.451437344028,0.6189547481489176,0.423942885276629,3987.9786881590203
C037,47,25,900,1046.4741639501826,0.6189681904743679,0.423942885276629,3987.9786881590203
C037,47,26,936,1046.4980989444662,0.6189823475368269,0.423942885276629,3987.9786881590203
C037,47,27,972,1046.7087715260557,0.6191069560853235,0.423942885276629,3987.9786881590203
C037,47,28,1008,1046.7087715260557,0.6191069560853235,0.423942885276629,3987.9786881590203
C037,47,29,1044,1046.7087715260557,0.6191069560853235,0.423942885276629,3987.9786881590203
C037,47,30,1080,1046.718300627082,0.6191125923548295,0.423942885276629,3987.9786881590203
C037,47,31,1116,1047.4996116605216,0.619574721945053,0.423942885276629,3987.9786881590203
C037,47,32,1152,1047.6272157171334,0.6196501971500213,0.423942885276629,3987.9786881590203
C037,47,33,1188,1047.6285982880781,0.6196510149126239,0.423942885276629,3987.9786881590203
C037,47,34,1224,1047.6334942902986,0.619653910798389,0.423942885276629,3987.9786881590203
C037,47,35,1260,1047.7178175248027,0.6197037862770908,0.423942885276629,3987.9786881590203
C037,47,36,1296,1048.2964944163245,0.6200460618924414,0.423942885276629,3987.9786881590203
C037,47,37,1332,1048.4981225332756,0.6201653208240014,0.423942885276629,3987.9786881590203
C037,47,38,1368,1048.545862653463,0.6201935581344133,0.423942885276629,3987.9786881590203
C037,47,39,1404,1048.545862653463,0.6201935581344133,0.423942885276629,3987.9786881590203
C037,47,40,1440,1048.545862653463,0.6201935581344133,0.423942885276629,3987.9786881590203
C037,47,41,1476,1048.545862653463,0.6201935581344133,0.423942885276629,3987.9786881590203
C037,47,42,1512,1048.6195774915334,0.6202371589623203,0.423942885276629,3987.9786881590203
C037,47,43,1548,1048.7818769826554,0.6203331558113543,0.423942885276629,3987.9786881590203
C037,47,44,1584,1048.7844913110048,0.620334702133417,0.423942885276629,3987.9786881590203
C037,47,45,1620,1048.7844913110048,0.620334702133417,0.423942885276629,3987.9786881590203
C037,47,46,1656,1048.8399219688963,0.6203674882405125,0.423942885276629,3987.9786881590203
C037,47,47,1692,1048.8399219688963,0.6203674882405125,0.423942885276629,3987.9786881590203
C037,47,48,1728,1048.8399219688963,0.6203674882405125,0.423942885276629,3987.9786881590203
C037,47,49,1764,1048.8399219688963,0.6203674882405125,0.423942885276629,3987.9786881590203
C037,47,50,1800,1048.8399219688963,0.6203674882405125,0.423942885276629,3987.9786881590203
C037,47,51,1836,1048.8399219688963,0.6203674882405125,0.423942885276629,3987.9786881590203
